Protocol,Experiment,Run,Samples_N,Samples_N_eff,Vshunt_Mean_V,Vshunt_Median_V,Vshunt_Std_V,Vshunt_Max_V,Vshunt_Min_V,Vshunt_Combined_Uncert_V,Current_Mean_mA,Current_Median_mA,Current_Std_mA,Current_Max_mA,Current_Min_mA,Power_Mean_mW,Power_Std_mW,Power_Rel_Uncert_pct
wifi,all,esp32_full_payload_run21.csv,12957,61.7208983910,0.1071907473,0.1080863000,0.0033212790,0.1148615000,0.0958989100,0.0004228860,94.4777375134,95.2670599973,2.9273099351,101.2385878877,84.5253343957,474.3140493797,14.6962053249,0.3945810030
wifi,all,esp32_full_payload_run20.csv,12824,52.4096430217,0.1071555526,0.1079231000,0.0030459162,0.1160791000,0.0958719600,0.0004208697,94.4467175990,95.1232187304,2.6846105316,102.3117565557,84.5015811963,474.1583176530,13.4777623361,0.3928291780
wifi,all,esp32_full_payload_run08.csv,11930,104.6564334012,0.1080057425,0.1079814000,0.0014307434,0.1169871000,0.0995123600,0.0001402541,95.1960582217,95.1746032026,1.2610290326,103.1120498791,87.7101580844,477.9202915788,6.3308436739,0.1300514283
wifi,all,esp32_full_payload_run22.csv,12914,64.2456922193,0.1073535588,0.1081956000,0.0032366979,0.1170587000,0.0961219200,0.0004039499,94.6212363460,95.3633948654,2.8527618357,103.1751567094,84.7218910191,475.0344679053,14.3219456121,0.3763467148
wifi,all,esp32_full_payload_run23.csv,12995,37.3194831189,0.1069951299,0.1082201000,0.0037208757,0.1131743000,0.0959284700,0.0006091746,94.3053241574,95.3849886831,3.2795066116,99.7515230252,84.5513879977,473.4484689880,16.4643661231,0.5693921166
wifi,all,esp32_full_payload_run27.csv,12831,72.6083815393,0.1071031490,0.1080764000,0.0033222012,0.1143763000,0.0960000800,0.0003900228,94.4005300512,95.2583343322,2.9281226961,100.8109421603,84.6145036419,473.9264386579,14.7002856928,0.3642252698
wifi,all,esp32_full_payload_run26.csv,13472,44.5418052294,0.1067638386,0.1080936000,0.0038203631,0.1166523000,0.0958824000,0.0005725236,94.1014685945,95.2734940736,3.3671928507,102.8169637506,84.5107828067,472.4250368011,16.9045842767,0.5362992826
wifi,all,esp32_full_payload_run24.csv,13526,27.3739330419,0.1067440327,0.1081006000,0.0039478618,0.1127718000,0.0959789400,0.0007546319,94.0840120321,95.2796637358,3.4795676907,99.3967674496,84.5958712621,472.3373982415,17.4687485636,0.7069902260
wifi,all,esp32_full_payload_run30.csv,1652,7.2606368147,0.1079724008,0.1083406000,0.0021880281,0.1094798000,0.0961970900,0.0008120865,95.1666714787,95.4911950107,1.9284848914,96.4952634622,84.7881443771,477.7727589915,9.6817250507,0.7521576025
wifi,all,esp32_full_payload_run18.csv,13517,18.0604814428,0.1067170219,0.1081931000,0.0039251417,0.1155189000,0.0958913100,0.0009236737,94.0602052583,95.3611914147,3.4595426293,101.8180073049,84.5186359053,472.2178792144,17.3682151660,0.8655645528
wifi,all,esp32_full_payload_run19.csv,12207,91.2412935536,0.1077191393,0.1080101000,0.0022508350,0.1138652000,0.0959068700,0.0002358754,94.9434517723,95.1998988175,1.9838416493,100.3604686828,84.5323501830,476.6521114653,9.9596369553,0.2190873411
wifi,all,esp32_full_payload_run25.csv,13544,33.2369682655,0.1066001931,0.1079778000,0.0041449569,0.1131576000,0.0959198100,0.0007190437,93.9572346427,95.1714302335,3.6532834128,99.7368039740,84.5437552442,471.7009276983,18.3408673268,0.6745611054
BLE,chunk,ble_nrf52_chunked_244_run11.csv,18467,54.0366144949,0.0095794712,0.0099126900,0.0021597811,0.0111593000,0.0036111200,0.0002938518,8.4450804614,8.7387729776,1.9035885740,9.8375104884,3.1846932444,42.3975046016,9.5567361015,3.0675238725
BLE,chunk,ble_nrf52_chunked_244_run05.csv,18543,50.7558183666,0.0095769380,0.0101882000,0.0021489689,0.0111684000,0.0036075400,0.0003016801,8.4428477406,8.9816020674,1.8940589178,9.8455310493,3.1815379029,42.3862954973,9.5088936155,3.1500763855
BLE,chunk,ble_nrf52_chunked_244_run04.csv,18532,39.7703182080,0.0095778936,0.0101362000,0.0021127954,0.0111553000,0.0036244700,0.0003350627,8.4436900180,8.9357702911,1.8621762739,9.8339849672,3.1964596716,42.3905240490,9.3488306600,3.4982994154
BLE,chunk,ble_nrf52_chunked_244_run10.csv,18397,34.5693303947,0.0096091997,0.0100269000,0.0020618505,0.0113131000,0.0036043200,0.0003507161,8.4712825658,8.8394354230,1.8172743978,9.9730667804,3.1786998583,42.5290490964,9.1234062240,3.6498016796
BLE,chunk,ble_nrf52_chunked_244_run06.csv,18488,35.9004278722,0.0095890041,0.0099346200,0.0020671423,0.0111630000,0.0036069400,0.0003450373,8.4534826271,8.7581016478,1.8219385466,9.8407715956,3.1810090747,42.4396866578,9.1468220185,3.5982666510
BLE,chunk,ble_nrf52_chunked_244_run12.csv,18600,34.8249876091,0.0095996349,0.0099060100,0.0020496102,0.0111573000,0.0036070600,0.0003473527,8.4628523427,8.7328853571,1.8064860838,9.8357477278,3.1811148403,42.4867261813,9.0692447990,3.6184014437
BLE,chunk,ble_nrf52_chunked_244_run13.csv,18506,54.3107640693,0.0095968258,0.0101048000,0.0021532467,0.0112112000,0.0036124300,0.0002922229,8.4603764497,8.9080949493,1.8978292689,9.8832541266,3.1858478526,42.4742962602,9.5278222074,3.0450032524
